Features,Shapley_importance
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,0.029702582125177204
APPROVED_APP_CREDIT_PERC_MAX,0.005789886037474844
CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,0.0006925517112261286
REFUSED_RATE_DOWN_PAYMENT_MAX,0.005594996164328313
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,0.0
EXT_SOURCE_3,0.0006676164885900663
ANNUITY_INCOME_PERC,0.02316799413006461
NAME_FAMILY_STATUS,0.27157349537446396
POS_SK_DPD_DEF_MAX,0.03271818320293357
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,0.02028862120978944
CC_AMT_DRAWINGS_POS_CURRENT_SUM,0.0049301187321496125
BURO_DAYS_CREDIT_ENDDATE_MAX,0.004558369388319384
BURO_CREDIT_ACTIVE_Active_MEAN,0.024572670398100946
CC_NAME_CONTRACT_STATUS_Active_VAR,0.033648762595389056
REGION_POPULATION_RELATIVE,0.004064201719108664
BURO_CREDIT_TYPE_Another_type_of_loan_MEAN,0.023816779340905352
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,0.0004839769832062203
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,0.0031681959692667085
PREV_NAME_TYPE_SUITE_nan_MEAN,0.0024257135292741717
APPROVED_AMT_ANNUITY_MEAN,0.0132687976799938
PREV_NAME_GOODS_CATEGORY_Audio_Video_MEAN,0.026559121977249855
APPROVED_CNT_PAYMENT_MEAN,0.0
CC_AMT_DRAWINGS_CURRENT_SUM,0.09312408204673756
BURO_DAYS_CREDIT_ENDDATE_MIN,0.00030265495742713006
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0.00039119936965144466
INSTAL_AMT_PAYMENT_MIN,0.00015166254776229047
OWN_CAR_AGE,0.008743085445869773
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,0.014397223061063107
CNT_FAM_MEMBERS,0.011526832778172394
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,0.00027750896027367274
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0.00341640185525378
CLOSED_DAYS_CREDIT_ENDDATE_MIN,0.008175184407495846
DAYS_EMPLOYED,0.0002370991951163001
BURO_AMT_CREDIT_SUM_DEBT_MAX,0.09030510450174199
BURO_CREDIT_TYPE_Mortgage_MEAN,0.001170922387760256
POS_NAME_CONTRACT_STATUS_Completed_MEAN,0.02265839115093576
PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN,0.0060593369769563156
CC_AMT_BALANCE_MAX,0.003549180883507912
REFUSED_AMT_APPLICATION_MEAN,0.005467978718814234
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,0.00011929668124211397
NAME_EDUCATION_TYPE,0.0046006157353189695
PREV_APP_CREDIT_PERC_MEAN,0.025500003158148227
PREV_PRODUCT_COMBINATION_Cash_X_Sell__low_MEAN,0.02070787943308589
INSTAL_AMT_INSTALMENT_MAX,0.02024584732443511
BURO_MONTHS_BALANCE_SIZE_SUM,0.0029029447214900385
CC_AMT_DRAWINGS_POS_CURRENT_VAR,9.881078242038109e-05
REFUSED_DAYS_DECISION_MEAN,0.0007335467044150512
BURO_STATUS_C_MEAN_MEAN,0.00138258377270985
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0.0022124201790763845
BURO_STATUS_X_MEAN_MEAN,0.0008306741905679101
EXT_SOURCE_2,0.30591019172373285
PREV_NAME_GOODS_CATEGORY_Photo___Cinema_Equipment_MEAN,0.0026762703250659
EXT_SOURCE_1,0.1512914164506141
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0.03049688251720546
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.020559636421395265
REFUSED_CNT_PAYMENT_MEAN,0.005607583209108244
FLAG_DOCUMENT_18,0.004670186857213212
INSTAL_AMT_INSTALMENT_MEAN,0.003900659423834597
BURO_MONTHS_BALANCE_MAX_MAX,0.0003025732294732014
PREV_APP_CREDIT_PERC_MAX,0.005256446535978576
PREV_NAME_GOODS_CATEGORY_Construction_Materials_MEAN,0.00030625364505485164
FLAG_DOCUMENT_3,0.04134963223500758
ACTIVE_DAYS_CREDIT_MEAN,0.01304314805458048
INSTAL_DBD_MEAN,0.003894220751729218
PREV_AMT_APPLICATION_MAX,0.0008166135575009244
INSTAL_PAYMENT_PERC_VAR,0.001309159419720967
BASEMENTAREA_AVG,0.001014370338639012
CLOSED_DAYS_CREDIT_MAX,0.015942396859987336
PAYMENT_RATE,0.14350466414500837
AMT_CREDIT,0.030732836863840207
BURO_STATUS_1_MEAN_MEAN,0.0009631444568800537
PREV_NAME_PORTFOLIO_Cash_MEAN,0.0003845974491241884
PREV_PRODUCT_COMBINATION_Cash_Street__low_MEAN,0.010731259547233864
INSTAL_DPD_MEAN,0.12292178936184017
PREV_PRODUCT_COMBINATION_Cash_X_Sell__middle_MEAN,0.00034241075366629904
PREV_APP_CREDIT_PERC_MIN,0.03619720306834907
REG_CITY_NOT_LIVE_CITY,0.013086067354274502
CC_AMT_DRAWINGS_CURRENT_MEAN,0.0
POS_MONTHS_BALANCE_MEAN,0.005157376741786443
APPROVED_HOUR_APPR_PROCESS_START_MIN,0.000178563241368149
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,0.008011147305960717
PREV_HOUR_APPR_PROCESS_START_MEAN,0.0028797119611831904
BURO_AMT_CREDIT_SUM_DEBT_MEAN,0.05477595722515171
CC_AMT_PAYMENT_CURRENT_SUM,0.00927047598362045
PREV_PRODUCT_COMBINATION_POS_industry_with_interest_MEAN,0.013896851694955881
CC_AMT_DRAWINGS_ATM_CURRENT_VAR,0.0006152073131369169
CLOSED_DAYS_CREDIT_MEAN,0.0033717057111073514
INSTAL_DPD_MAX,0.0
CC_AMT_BALANCE_MEAN,0.011091358541652262
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,0.007533252986709758
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,0.002688526476783452
INSTAL_PAYMENT_DIFF_MAX,0.013031201167601699
PREV_DAYS_DECISION_MIN,0.015090110400004384
